Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2009,3,1/7/2009 to 30/9/2009,Gender,Male,26.6%,76.2%,49.6%,"216,100","811,500","12,684,700","16,649,900"
2009,2,1/4/2009 to 30/6/2009,Gender,Female,28.8%,65.7%,36.9%,"271,000","941,700","10,981,400","16,719,100"
2009,2,1/4/2009 to 30/6/2009,Gender,Male,26.7%,76.1%,49.4%,"208,200","780,200","12,651,000","16,625,200"
2009,1,1/1/2009 to 31/3/2009,Gender,Female,28.3%,66.1%,37.8%,"256,200","904,700","11,039,500","16,700,600"
2009,1,1/1/2009 to 31/3/2009,Gender,Male,29.0%,77.3%,48.3%,"227,000","782,600","12,835,200","16,603,800"
2008,4,1/10/2008 to 31/12/2008,Gender,Female,27.2%,66.7%,39.6%,"238,400","877,600","11,134,300","16,682,900"
2008,4,1/10/2008 to 31/12/2008,Gender,Male,28.0%,78.6%,50.6%,"210,900","753,700","13,027,000","16,582,400"
2008,3,1/7/2008 to 30/9/2008,Gender,Female,28.2%,66.8%,38.7%,"253,200","899,200","11,138,400","16,664,500"
2008,3,1/7/2008 to 30/9/2008,Gender,Male,28.4%,79.0%,50.6%,"223,500","786,400","13,088,200","16,561,000"
2008,2,1/4/2008 to 30/6/2008,Gender,Female,28.2%,66.8%,38.6%,"253,400","898,100","11,117,400","16,644,600"
2008,2,1/4/2008 to 30/6/2008,Gender,Male,27.4%,78.8%,51.4%,"211,900","772,600","13,034,100","16,536,400"
2008,1,1/1/2008 to 31/3/2008,Gender,Female,26.9%,66.9%,40.0%,"240,300","892,800","11,123,600","16,621,900"
2008,1,1/1/2008 to 31/3/2008,Gender,Male,29.3%,79.0%,49.7%,"235,500","802,600","13,041,100","16,505,400"
2007,4,1/10/2007 to 31/12/2007,Gender,Female,26.3%,67.1%,40.9%,"235,500","897,300","11,140,600","16,598,800"
2007,4,1/10/2007 to 31/12/2007,Gender,Male,28.8%,79.6%,50.8%,"223,700","777,400","13,106,600","16,474,500"
2007,3,1/7/2007 to 30/9/2007,Gender,Female,27.5%,66.8%,39.3%,"243,500","886,800","11,072,100","16,575,800"
2007,3,1/7/2007 to 30/9/2007,Gender,Male,27.6%,79.4%,51.8%,"210,400","762,600","13,061,700","16,443,600"
2007,2,1/4/2007 to 30/6/2007,Gender,Female,27.2%,66.2%,39.0%,"239,400","879,200","10,958,000","16,550,000"
2007,2,1/4/2007 to 30/6/2007,Gender,Male,26.0%,78.7%,52.7%,"195,200","749,700","12,917,800","16,410,300"
2007,1,1/1/2007 to 31/3/2007,Gender,Female,26.1%,66.2%,40.1%,"224,000","857,900","10,939,500","16,518,400"
2007,1,1/1/2007 to 31/3/2007,Gender,Male,27.2%,78.5%,51.3%,"199,600","734,000","12,848,700","16,372,300"
2006,4,1/10/2006 to 31/12/2006,Gender,Female,27.3%,66.9%,39.6%,"224,800","823,400","11,023,700","16,486,500"
2006,4,1/10/2006 to 31/12/2006,Gender,Male,26.5%,79.3%,52.8%,"188,000","709,900","12,944,300","16,333,600"
2006,3,1/7/2006 to 30/9/2006,Gender,Female,28.2%,66.8%,38.7%,"221,200","785,100","10,998,000","16,454,600"
2006,3,1/7/2006 to 30/9/2006,Gender,Male,28.8%,79.8%,51.0%,"205,200","713,300","12,999,600","16,295,300"
2014,1,1/1/2014 to 31/3/2014,Age,16 to 19,15.7%,32.3%,16.6%,"23,800","151,500","792,900","2,454,200"
2014,1,1/1/2014 to 31/3/2014,Age,20 to 24,34.0%,63.5%,29.6%,"77,800","228,900","2,267,400","3,568,100"
2014,1,1/1/2014 to 31/3/2014,Age,25 to 29,40.8%,79.0%,38.2%,"103,400","253,400","3,056,100","3,869,300"
2014,1,1/1/2014 to 31/3/2014,Age,30 to 34,47.8%,81.9%,34.1%,"101,800","213,100","2,939,400","3,589,400"
2014,1,1/1/2014 to 31/3/2014,Age,35 to 39,43.7%,81.8%,38.0%,"90,600","207,200","2,674,300","3,269,400"
2014,1,1/1/2014 to 31/3/2014,Age,40 to 44,43.8%,83.1%,39.3%,"126,500","288,900","3,041,900","3,659,300"
2014,1,1/1/2014 to 31/3/2014,Age,45 to 49,44.1%,83.5%,39.4%,"145,900","330,900","3,251,800","3,896,600"
2014,1,1/1/2014 to 31/3/2014,Age,50 to 54,34.9%,81.6%,46.7%,"110,300","315,800","2,964,300","3,630,700"
2014,1,1/1/2014 to 31/3/2014,Age,55 to 59,29.9%,72.7%,42.7%,"92,300","308,200","2,257,400","3,106,900"
2014,1,1/1/2014 to 31/3/2014,Age,60 to 64,18.5%,48.7%,30.2%,"45,000","243,100","1,393,900","2,862,600"
2013,4,1/10/2013 to 31/12/2013,Age,16 to 19,15.8%,33.6%,17.8%,"21,700","137,000","827,000","2,460,000"
2013,4,1/10/2013 to 31/12/2013,Age,20 to 24,34.5%,64.8%,30.4%,"76,900","222,900","2,315,200","3,571,300"
2013,4,1/10/2013 to 31/12/2013,Age,25 to 29,39.9%,78.6%,38.7%,"93,400","233,800","3,041,600","3,867,500"
2013,4,1/10/2013 to 31/12/2013,Age,30 to 34,51.2%,81.4%,30.2%,"104,800","204,700","2,905,000","3,568,800"
2013,4,1/10/2013 to 31/12/2013,Age,35 to 39,44.2%,82.2%,38.0%,"94,300","213,300","2,684,500","3,267,400"
2013,4,1/10/2013 to 31/12/2013,Age,40 to 44,39.7%,82.1%,42.4%,"116,600","294,000","3,023,900","3,683,100"
2013,4,1/10/2013 to 31/12/2013,Age,45 to 49,36.0%,82.3%,46.2%,"120,600","334,700","3,204,900","3,895,300"
2013,4,1/10/2013 to 31/12/2013,Age,50 to 54,37.1%,81.7%,44.6%,"120,100","323,900","2,943,500","3,603,000"
2013,4,1/10/2013 to 31/12/2013,Age,55 to 59,33.5%,73.6%,40.1%,"97,200","290,500","2,270,800","3,086,500"
2013,4,1/10/2013 to 31/12/2013,Age,60 to 64,18.8%,47.6%,28.8%,"47,700","254,000","1,363,100","2,866,400"
2013,3,1/7/2013 to 30/9/2013,Age,16 to 19,14.9%,34.6%,19.6%,"20,800","139,200","852,300","2,465,900"
2013,3,1/7/2013 to 30/9/2013,Age,20 to 24,34.1%,64.0%,29.9%,"88,300","258,900","2,287,100","3,574,600"
2013,3,1/7/2013 to 30/9/2013,Age,25 to 29,34.4%,77.7%,43.3%,"79,200","230,600","3,002,400","3,865,800"
2013,3,1/7/2013 to 30/9/2013,Age,30 to 34,48.0%,81.8%,33.8%,"96,000","199,900","2,903,600","3,548,300"
2013,3,1/7/2013 to 30/9/2013,Age,35 to 39,45.5%,81.6%,36.1%,"94,800","208,100","2,666,300","3,265,600"
2013,3,1/7/2013 to 30/9/2013,Age,40 to 44,41.4%,81.6%,40.2%,"125,000","302,200","3,023,800","3,706,500"
2013,3,1/7/2013 to 30/9/2013,Age,45 to 49,37.3%,82.7%,45.4%,"113,700","304,800","3,221,500","3,893,500"
2013,3,1/7/2013 to 30/9/2013,Age,50 to 54,36.6%,80.6%,44.0%,"122,200","334,000","2,883,300","3,575,500"
2013,3,1/7/2013 to 30/9/2013,Age,55 to 59,33.7%,73.0%,39.3%,"99,000","294,200","2,236,800","3,066,100"
2013,3,1/7/2013 to 30/9/2013,Age,60 to 64,18.3%,47.3%,29.0%,"44,100","241,300","1,357,100","2,870,100"
2013,2,1/4/2013 to 30/6/2013,Age,16 to 19,14.5%,31.8%,17.3%,"18,600","128,100","787,000","2,471,700"
2013,2,1/4/2013 to 30/6/2013,Age,20 to 24,33.2%,60.1%,26.9%,"69,300","208,400","2,152,500","3,578,600"
2013,2,1/4/2013 to 30/6/2013,Age,25 to 29,31.9%,77.2%,45.3%,"65,900","206,400","2,979,400","3,856,900"
2013,2,1/4/2013 to 30/6/2013,Age,30 to 34,46.6%,81.4%,34.8%,"87,000","186,900","2,869,600","3,526,600"
2013,2,1/4/2013 to 30/6/2013,Age,35 to 39,41.8%,81.7%,39.9%,"89,400","214,000","2,671,800","3,269,500"
2013,2,1/4/2013 to 30/6/2013,Age,40 to 44,41.7%,81.7%,40.0%,"114,000","273,200","3,045,800","3,728,100"
2013,2,1/4/2013 to 30/6/2013,Age,45 to 49,34.1%,82.6%,48.5%,"100,900","295,800","3,216,500","3,892,300"
2013,2,1/4/2013 to 30/6/2013,Age,50 to 54,36.1%,81.2%,45.1%,"121,500","336,700","2,882,300","3,549,700"
2013,2,1/4/2013 to 30/6/2013,Age,55 to 59,29.5%,73.1%,43.6%,"81,400","276,200","2,227,800","3,047,400"
2013,2,1/4/2013 to 30/6/2013,Age,60 to 64,16.1%,46.5%,30.5%,"38,200","237,600","1,340,500","2,880,600"
2013,1,1/1/2013 to 31/3/2013,Age,16 to 19,16.5%,32.0%,15.6%,"21,900","133,100","793,400","2,477,200"
2013,1,1/1/2013 to 31/3/2013,Age,20 to 24,35.9%,61.2%,25.3%,"74,000","206,200","2,191,900","3,584,200"
2013,1,1/1/2013 to 31/3/2013,Age,25 to 29,38.4%,77.1%,38.8%,"69,300","180,600","2,956,000","3,833,200"
2013,1,1/1/2013 to 31/3/2013,Age,30 to 34,34.1%,80.4%,46.2%,"54,400","159,400","2,815,800","3,503,400"
2013,1,1/1/2013 to 31/3/2013,Age,35 to 39,43.6%,81.5%,37.9%,"82,500","189,400","2,676,800","3,284,700"
2013,1,1/1/2013 to 31/3/2013,Age,40 to 44,39.5%,81.5%,42.0%,"100,000","253,100","3,053,400","3,745,800"
2013,1,1/1/2013 to 31/3/2013,Age,45 to 49,32.0%,82.7%,50.6%,"91,500","285,600","3,217,100","3,891,500"
2013,1,1/1/2013 to 31/3/2013,Age,50 to 54,35.3%,81.5%,46.2%,"110,700","313,700","2,875,900","3,527,900"
2013,1,1/1/2013 to 31/3/2013,Age,55 to 59,30.5%,72.0%,41.5%,"84,700","277,700","2,183,200","3,031,900"
2013,1,1/1/2013 to 31/3/2013,Age,60 to 64,14.2%,46.0%,31.9%,"32,700","231,100","1,336,600","2,904,300"
2012,4,1/10/2012 to 31/12/2012,Age,16 to 19,20.5%,35.1%,14.6%,"28,100","136,800","871,800","2,482,700"
2012,4,1/10/2012 to 31/12/2012,Age,20 to 24,36.4%,63.5%,27.1%,"77,600","213,100","2,278,300","3,589,700"
2012,4,1/10/2012 to 31/12/2012,Age,25 to 29,39.1%,77.7%,38.6%,"74,500","190,400","2,961,200","3,809,800"
2012,4,1/10/2012 to 31/12/2012,Age,30 to 34,39.3%,80.8%,41.5%,"64,800","164,700","2,812,800","3,480,000"
2012,4,1/10/2012 to 31/12/2012,Age,35 to 39,43.6%,81.4%,37.8%,"78,300","179,500","2,686,400","3,300,000"
2012,4,1/10/2012 to 31/12/2012,Age,40 to 44,38.8%,82.5%,43.7%,"98,100","252,700","3,105,300","3,763,200"
2012,4,1/10/2012 to 31/12/2012,Age,45 to 49,33.2%,83.0%,49.8%,"94,500","284,700","3,229,100","3,890,500"
2012,4,1/10/2012 to 31/12/2012,Age,50 to 54,33.6%,81.8%,48.3%,"98,600","293,800","2,868,700","3,506,400"
2012,4,1/10/2012 to 31/12/2012,Age,55 to 59,31.9%,72.2%,40.3%,"91,600","286,800","2,177,900","3,016,500"
2012,4,1/10/2012 to 31/12/2012,Age,60 to 64,16.3%,46.2%,29.9%,"38,200","234,400","1,352,600","2,928,100"
2012,3,1/7/2012 to 30/9/2012,Age,16 to 19,19.9%,36.4%,16.6%,"23,700","119,300","906,500","2,488,200"
2012,3,1/7/2012 to 30/9/2012,Age,20 to 24,31.9%,64.2%,32.3%,"73,300","229,700","2,307,500","3,595,500"
2012,3,1/7/2012 to 30/9/2012,Age,25 to 29,38.8%,76.5%,37.6%,"69,700","179,400","2,894,700","3,786,100"
2012,3,1/7/2012 to 30/9/2012,Age,30 to 34,37.6%,80.6%,43.0%,"63,900","169,900","2,785,700","3,456,500"
2012,3,1/7/2012 to 30/9/2012,Age,35 to 39,41.0%,81.9%,40.9%,"72,800","177,600","2,715,900","3,315,400"
2012,3,1/7/2012 to 30/9/2012,Age,40 to 44,37.9%,82.3%,44.5%,"93,300","246,400","3,111,900","3,780,900"
2012,3,1/7/2012 to 30/9/2012,Age,45 to 49,36.5%,82.7%,46.2%,"106,300","291,500","3,215,100","3,889,800"
2012,3,1/7/2012 to 30/9/2012,Age,50 to 54,34.5%,80.8%,46.4%,"104,700","303,900","2,815,800","3,484,600"
2012,3,1/7/2012 to 30/9/2012,Age,55 to 59,29.5%,71.4%,41.8%,"87,000","294,500","2,142,400","3,001,300"
2012,3,1/7/2012 to 30/9/2012,Age,60 to 64,15.4%,46.1%,30.7%,"34,000","220,300","1,362,100","2,951,800"
2012,2,1/4/2012 to 30/6/2012,Age,16 to 19,19.2%,33.5%,14.3%,"20,600","107,500","835,700","2,495,800"
2012,2,1/4/2012 to 30/6/2012,Age,20 to 24,30.9%,61.5%,30.6%,"58,800","190,200","2,213,500","3,597,700"
2012,2,1/4/2012 to 30/6/2012,Age,25 to 29,38.1%,76.5%,38.4%,"61,200","160,500","2,879,100","3,762,400"
2012,2,1/4/2012 to 30/6/2012,Age,30 to 34,35.7%,79.7%,44.0%,"63,800","178,400","2,737,500","3,434,000"
2012,2,1/4/2012 to 30/6/2012,Age,35 to 39,36.4%,80.7%,44.4%,"67,100","184,700","2,692,000","3,334,400"
2012,2,1/4/2012 to 30/6/2012,Age,40 to 44,36.4%,82.6%,46.2%,"84,700","232,700","3,135,900","3,797,100"
2012,2,1/4/2012 to 30/6/2012,Age,45 to 49,35.9%,82.6%,46.7%,"110,700","308,000","3,211,200","3,885,900"
2012,2,1/4/2012 to 30/6/2012,Age,50 to 54,30.4%,80.5%,50.0%,"90,000","295,800","2,785,700","3,462,800"
2012,2,1/4/2012 to 30/6/2012,Age,55 to 59,28.1%,71.1%,43.0%,"81,200","288,900","2,123,400","2,987,900"
2012,2,1/4/2012 to 30/6/2012,Age,60 to 64,17.0%,45.7%,28.7%,"37,000","217,700","1,362,600","2,978,600"
2012,1,1/1/2012 to 31/3/2012,Age,16 to 19,18.2%,33.3%,15.0%,"22,500","123,400","834,000","2,507,600"
2012,1,1/1/2012 to 31/3/2012,Age,20 to 24,25.5%,60.3%,34.8%,"53,300","208,900","2,167,000","3,593,000"
2012,1,1/1/2012 to 31/3/2012,Age,25 to 29,34.4%,76.2%,41.8%,"57,500","167,200","2,847,300","3,737,600"
2012,1,1/1/2012 to 31/3/2012,Age,30 to 34,34.4%,79.6%,45.2%,"63,000","183,200","2,715,800","3,413,400"
2012,1,1/1/2012 to 31/3/2012,Age,35 to 39,38.1%,80.4%,42.4%,"73,400","192,800","2,703,600","3,361,400"
2012,1,1/1/2012 to 31/3/2012,Age,40 to 44,33.6%,82.4%,48.8%,"83,500","248,200","3,141,100","3,810,700"
2012,1,1/1/2012 to 31/3/2012,Age,45 to 49,35.8%,82.4%,46.6%,"104,700","292,800","3,191,600","3,875,300"
2012,1,1/1/2012 to 31/3/2012,Age,50 to 54,33.1%,80.2%,47.1%,"95,800","289,300","2,760,200","3,440,300"
2012,1,1/1/2012 to 31/3/2012,Age,55 to 59,25.1%,70.1%,45.0%,"68,900","274,200","2,086,600","2,978,100"
2012,1,1/1/2012 to 31/3/2012,Age,60 to 64,14.5%,44.9%,30.5%,"32,600","225,400","1,352,900","3,011,900"
2011,4,1/10/2011 to 31/12/2011,Age,16 to 19,17.6%,34.5%,16.9%,"23,200","131,700","868,600","2,519,500"
2011,4,1/10/2011 to 31/12/2011,Age,20 to 24,30.0%,62.1%,32.2%,"52,300","174,700","2,229,300","3,588,200"
2011,4,1/10/2011 to 31/12/2011,Age,25 to 29,32.3%,76.6%,44.3%,"56,900","176,100","2,842,400","3,712,800"
2011,4,1/10/2011 to 31/12/2011,Age,30 to 34,35.8%,79.0%,43.2%,"65,900","184,100","2,679,200","3,392,900"
2011,4,1/10/2011 to 31/12/2011,Age,35 to 39,32.4%,80.2%,47.8%,"63,500","195,900","2,717,800","3,388,400"
2011,4,1/10/2011 to 31/12/2011,Age,40 to 44,32.5%,82.1%,49.7%,"80,000","246,400","3,140,700","3,824,200"
2011,4,1/10/2011 to 31/12/2011,Age,45 to 49,37.7%,82.4%,44.7%,"108,700","288,400","3,182,900","3,864,900"
2011,4,1/10/2011 to 31/12/2011,Age,50 to 54,34.7%,80.9%,46.2%,"94,900","273,100","2,765,700","3,417,600"
2011,4,1/10/2011 to 31/12/2011,Age,55 to 59,25.2%,70.2%,45.0%,"69,300","275,000","2,082,600","2,968,600"
2011,4,1/10/2011 to 31/12/2011,Age,60 to 64,18.7%,43.8%,25.2%,"43,600","233,600","1,334,100","3,044,700"
2011,3,1/7/2011 to 30/9/2011,Age,16 to 19,17.2%,34.4%,17.2%,"19,700","115,000","870,600","2,530,700"
2011,3,1/7/2011 to 30/9/2011,Age,20 to 24,26.8%,63.5%,36.7%,"52,200","194,500","2,274,000","3,583,500"
2011,3,1/7/2011 to 30/9/2011,Age,25 to 29,32.8%,76.6%,43.7%,"53,200","162,100","2,823,600","3,688,300"
2011,3,1/7/2011 to 30/9/2011,Age,30 to 34,33.9%,78.6%,44.7%,"56,200","165,900","2,649,800","3,372,100"
2011,3,1/7/2011 to 30/9/2011,Age,35 to 39,31.8%,79.8%,47.9%,"63,300","198,700","2,724,300","3,415,400"
2011,3,1/7/2011 to 30/9/2011,Age,40 to 44,32.3%,82.3%,49.9%,"78,400","242,600","3,157,400","3,837,900"
2011,3,1/7/2011 to 30/9/2011,Age,45 to 49,37.4%,81.8%,44.4%,"108,100","288,800","3,151,000","3,853,700"
2011,3,1/7/2011 to 30/9/2011,Age,50 to 54,31.1%,80.6%,49.5%,"80,300","257,900","2,735,700","3,395,100"
2011,3,1/7/2011 to 30/9/2011,Age,55 to 59,25.1%,69.5%,44.4%,"69,700","277,400","2,057,300","2,959,000"
2011,3,1/7/2011 to 30/9/2011,Age,60 to 64,16.3%,44.9%,28.6%,"38,400","235,600","1,382,500","3,078,000"
2011,2,1/4/2011 to 30/6/2011,Age,16 to 19 ,16.5%,33.1%,16.5%,"21,900","132,700","841,100","2,545,100"
2011,2,1/4/2011 to 30/6/2011,Age,20 to 24 ,28.4%,62.4%,33.9%,"49,700","174,600","2,232,400","3,579,900"
2011,2,1/4/2011 to 30/6/2011,Age,25 to 29 ,32.7%,77.2%,44.5%,"49,000","150,000","2,829,800","3,667,200"
2011,2,1/4/2011 to 30/6/2011,Age,30 to 34 ,29.9%,79.2%,49.3%,"45,900","153,800","2,655,900","3,353,000"
2011,2,1/4/2011 to 30/6/2011,Age,35 to 39 ,30.2%,79.6%,49.4%,"60,800","201,600","2,739,100","3,443,100"
2011,2,1/4/2011 to 30/6/2011,Age,40 to 44 ,30.6%,81.7%,51.1%,"75,700","246,900","3,146,600","3,850,000"
