Year,Period of coverage,Breakdown,Level,Level description,Condition,General population mortality rate,Mental health DSR,Mental health lower CI,Mental health upper CI,Indicator value,SMR lower CI,SMR upper CI,MH deaths (numerator MH mortality rate and SMR),Expected (denominator SMR),MH population (denominator MH mortality rate),General population deaths,General population
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Gender,Male,,All,459.9,"1,625.40","1,598.10","1,653.10",357.6,351.7,363.7,"13,837","3,868.90","945,994","86,794","18,871,900"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Gender,Female,,All,308.7,"1,050.50","1,028.70","1,072.70",340.9,333.9,348,"9,087","2,665.70","992,683","58,957","19,098,000"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Gender,Male,,All,458.6,"1,592.10","1,564.10","1,620.60",351.8,345.7,358,"12,598","3,580.50","882,164","86,033","18,760,400"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Gender,Female,,All,307.5,"1,012.60",990.8,"1,034.70",330.7,323.7,337.8,"8,450","2,555.30","956,766","58,365","18,980,000"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Gender,Male,,All,458.4,"1,541.70","1,513.40","1,570.30",342.5,336.3,348.7,"11,651","3,402.10","841,959","85,482","18,648,900"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Gender,Female,,All,317.7,"1,039.70","1,016.60","1,063.20",329.9,322.7,337.3,"7,921","2,400.70","879,315","59,801","18,821,700"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Gender,Male,,All,482.7,"1,605.50","1,575.30","1,636.10",339.2,332.9,345.6,"11,048","3,256.80","776,352","89,151","18,468,200"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Gender,Female,,All,317.9,"1,006.50",983.6,"1,029.80",318.4,311.2,325.6,"7,533","2,366.30","866,914","59,317","18,658,600"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Gender,Male,,All,486.9,"1,584.00","1,553.70","1,614.80",332.9,326.6,339.3,"10,700","3,214.20","764,088","89,076","18,293,700"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Gender,Female,,All,332.9,"1,082.50","1,058.20","1,107.20",326.1,318.9,333.4,"7,746","2,375.50","823,403","61,578","18,498,400"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Gender,Male,,All,502.7,"1,647.90","1,616.30","1,680.00",336.5,330.2,343,"10,643","3,162.40","731,537","91,188","18,138,900"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,18 to 24,,All,34.5,126.7,114.2,140.3,368.2,331.8,407.4,375,101.9,"307,836","1,699","4,922,000"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,25 to 29,,All,43.6,194.9,176.9,214.3,446.3,405,490.6,428,95.9,"224,674","1,622","3,718,400"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,30 to 34,,All,59.7,319.1,295.3,344.2,531.9,492.4,573.7,670,126,"214,281","2,215","3,707,200"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,35 to 39,,All,88.6,487.9,457.4,520,549.1,514.8,585.1,952,173.4,"197,424","3,009","3,396,000"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,40 to 44,,All,134.4,638.9,605.5,673.7,475.1,450.2,501,"1,366",287.5,"214,630","4,981","3,707,400"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,45 to 49,,All,201.7,855.8,817.2,895.8,424.1,405,443.9,"1,844",434.8,"216,095","7,904","3,918,400"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,50 to 54,,All,303,"1,122.50","1,075.60","1,170.90",370.2,354.7,386.1,"2,160",583.5,"193,720","11,263","3,717,300"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,55 to 59,,All,478.3,"1,626.90","1,562.50","1,693.20",340.2,326.8,354.1,"2,409",708.1,"149,085","15,240","3,186,600"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,60 to 64,,All,771,"2,718.00","2,623.50","2,815.10",352.5,340.3,365.1,"3,121",885.3,"114,911","22,467","2,913,900"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,65 to 69,,All,"1,175.80","4,413.40","4,289.70","4,539.70",375.7,365.2,386.4,"4,826","1,284.60","109,859","34,985","2,975,500"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Age,70 to 74,,All,"1,987.80","6,618.10","6,469.30","6,769.40",333.1,325.6,340.7,"7,532","2,261.00","114,812","43,482","2,187,400"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,18 to 24,,All,32.8,120.1,107.4,133.8,366,327.6,407.6,331,90.4,"288,427","1,619","4,930,500"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,25 to 29,,All,43.7,195.5,176.9,215.5,445.1,402.9,490.5,407,91.4,"215,205","1,609","3,685,300"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,30 to 34,,All,60.7,311.5,287.9,336.7,510.9,472.1,552,641,125.5,"210,603","2,235","3,682,000"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,35 to 39,,All,91.9,468.1,438.1,499.7,507.1,474.6,541.3,903,178.1,"196,074","3,097","3,369,200"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,40 to 44,,All,134.5,614.9,582.5,648.7,456.7,432.6,481.7,"1,348",295.2,"220,289","5,096","3,789,900"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,45 to 49,,All,198,788.8,751.9,827.1,398,379.3,417.3,"1,711",429.9,"218,134","7,773","3,925,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,50 to 54,,All,307,"1,102.30","1,055.00","1,151.20",358.4,343,374.3,"2,043",570.1,"186,952","11,104","3,617,500"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,55 to 59,,All,481.5,"1,556.50","1,492.30","1,622.70",323.2,309.9,336.9,"2,218",686.3,"143,728","14,994","3,114,200"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,60 to 64,,All,769.2,"2,601.70","2,508.10","2,697.90",338.3,326.1,350.8,"2,913",861.1,"112,083","22,613","2,939,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,65 to 69,,All,"1,163.90","4,086.50","3,966.00","4,209.80",351.2,340.9,361.8,"4,359","1,241.10","107,429","33,961","2,917,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Age,70 to 74,,All,"1,982.60","6,222.10","6,073.50","6,373.30",314.1,306.6,321.7,"6,678","2,126.20","108,419","41,750","2,105,800"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,18 to 24,,All,32.3,122.3,108.9,136.9,376.2,335.1,421,304,80.8,"262,143","1,606","4,969,400"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,25 to 29,,All,40.1,180.7,162.1,200.8,451.5,405.1,501.6,346,76.6,"197,150","1,466","3,659,600"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,30 to 34,,All,55.9,285.6,262.2,310.5,507.7,466.1,551.9,550,108.3,"197,199","2,017","3,607,200"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,35 to 39,,All,85,411.3,382.8,441.4,482.9,449.5,518.1,774,160.3,"190,122","2,909","3,423,400"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,40 to 44,,All,131.7,565.4,534,598.3,428.8,405,453.7,"1,206",281.2,"214,213","5,062","3,842,700"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,45 to 49,,All,198,784.2,746.4,823.4,395.4,376.3,415.1,"1,616",408.7,"207,386","7,763","3,921,600"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,50 to 54,,All,302.3,"1,071.40","1,022.70","1,121.70",353.6,337.6,370.2,"1,822",515.3,"171,635","10,651","3,523,500"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,55 to 59,,All,491.2,"1,581.30","1,513.90","1,650.90",321.9,308.2,336,"2,074",644.4,"132,221","15,000","3,053,700"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,60 to 64,,All,767.8,"2,504.00","2,409.00","2,601.80",326.1,313.8,338.9,"2,619",803,"104,807","23,134","3,012,900"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,65 to 69,,All,"1,204.30","4,169.70","4,043.10","4,299.40",346.6,336,357.3,"4,105","1,184.50","99,229","33,626","2,792,100"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Age,70 to 74,,All,"2,034.50","6,424.60","6,266.30","6,585.90",316.1,308.4,324.1,"6,269","1,983.00","98,742","41,756","2,052,400"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,18 to 24,,All,33.7,129.7,115.4,145.2,385.5,343.4,431.4,304,78.8,"245,284","1,675","4,966,100"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,25 to 29,,All,41.9,185,165.6,205.9,438.7,392.9,488.2,335,76.4,"188,091","1,534","3,657,200"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,30 to 34,,All,59.7,294.3,270.1,320.2,491.4,451,534.5,544,110.7,"188,772","2,106","3,529,200"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,35 to 39,,All,85.9,418.8,390.2,448.9,486.2,453,521.1,798,164.1,"192,722","3,027","3,522,400"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,40 to 44,,All,134.6,589.4,557.1,623.2,437.1,413.1,462.1,"1,241",283.9,"211,996","5,224","3,881,500"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,45 to 49,,All,198.5,771.6,733.4,811.2,388.1,369,408.1,"1,533",395,"200,075","7,724","3,892,100"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,50 to 54,,All,310.5,"1,045.00",995.2,"1,096.60",335.6,319.6,352.1,"1,658",494.1,"160,485","10,628","3,422,600"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,55 to 59,,All,499.5,"1,607.40","1,537.30","1,679.80",321.2,307.2,335.7,"1,979",616.1,"124,505","15,001","3,003,500"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,60 to 64,,All,765.3,"2,562.00","2,465.10","2,661.70",334.9,322.2,347.9,"2,638",787.8,"103,375","24,201","3,162,300"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,65 to 69,,All,"1,229.50","3,804.80","3,678.80","3,934.10",310,299.7,320.5,"3,449","1,112.70","91,423","31,447","2,557,600"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,Age,70 to 74,,All,"2,028.90","6,196.20","6,034.90","6,360.80",305.9,298,314,"5,622","1,837.90","91,997","41,280","2,034,600"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,18 to 24,,All,36.3,115,100.8,130.8,315.9,277,358.8,237,75,"218,219","1,782","4,903,300"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,25 to 29,,All,46.3,201.6,180.6,224.3,435.4,390.3,484.3,339,77.9,"173,218","1,677","3,623,600"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,30 to 34,,All,64.2,306.2,280.5,333.7,476.9,436.9,519.6,523,109.7,"174,197","2,207","3,439,100"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,35 to 39,,All,94.5,450.1,420.2,481.6,476.6,444.9,510,840,176.2,"188,001","3,431","3,631,900"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,40 to 44,,All,142.1,603.7,569.9,638.9,424,400.3,448.8,"1,195",281.8,"199,155","5,549","3,904,400"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,45 to 49,,All,205,819.7,778.8,862.3,398.9,379,419.6,"1,501",376.3,"184,630","7,867","3,836,800"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,50 to 54,,All,336.8,"1,170.10","1,114.70","1,227.50",346.9,330.5,363.8,"1,679",484.1,"144,988","11,201","3,326,000"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,55 to 59,,All,523.7,"1,617.30","1,543.80","1,693.30",308.6,294.6,323.1,"1,823",590.7,"113,723","15,620","2,982,700"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,60 to 64,,All,806.2,"2,577.70","2,478.10","2,680.40",319.9,307.5,332.6,"2,521",788.1,"98,165","25,407","3,151,500"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,65 to 69,,All,"1,279.30","4,060.40","3,920.50","4,204.10",317.5,306.5,328.7,"3,186","1,003.60","79,284","31,247","2,442,600"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,Age,70 to 74,,All,"2,098.00","6,337.10","6,164.30","6,513.50",302.5,294.3,310.9,"5,125","1,694.10","82,087","42,964","2,047,900"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,18 to 24,,All,39.7,128.6,113.3,145.5,326.1,287.4,368.6,256,78.5,"209,438","1,922","4,842,000"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,25 to 29,,All,49.9,211.3,189.8,234.5,423.9,380.9,470.3,355,83.8,"173,136","1,794","3,595,700"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,30 to 34,,All,66.1,311.5,285.5,339.4,469,429.8,510.9,526,112.2,"172,768","2,227","3,368,200"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,35 to 39,,All,98.1,426,397.3,456.2,433,403.9,463.7,820,189.4,"194,686","3,641","3,710,300"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,40 to 44,,All,145.6,594.5,561,629.6,407.6,384.6,431.7,"1,172",287.5,"198,692","5,747","3,948,000"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,45 to 49,,All,213.3,812,770.6,855,379.6,360.2,399.7,"1,443",380.2,"179,415","7,992","3,746,900"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,50 to 54,,All,330.6,"1,123.70","1,068.20","1,181.40",338.9,322.2,356.3,"1,539",454.1,"138,701","10,718","3,242,300"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,55 to 59,,All,534.2,"1,683.20","1,607.50","1,761.60",315,300.8,329.6,"1,860",590.5,"111,473","16,016","2,998,400"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,60 to 64,,All,801,"2,450.70","2,352.90","2,551.60",306.1,293.9,318.7,"2,365",772.6,"97,007","24,933","3,112,800"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,65 to 69,,All,"1,288.90","3,939.30","3,798.00","4,084.50",306.1,295.1,317.3,"2,941",960.9,"75,431","30,408","2,359,300"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,Age,70 to 74,,All,"2,119.50","6,281.50","6,107.20","6,459.40",296.6,288.4,305,"4,956","1,671.00","80,255","42,995","2,028,500"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,18 to 24,,All,43.9,155,137.4,174.1,356.1,316.1,399.8,287,80.6,"193,989","2,108","4,805,700"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,25 to 29,,All,52.1,228.6,205.8,253.2,437.6,394,484.7,368,84.1,"165,950","1,856","3,564,000"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,30 to 34,,All,69.9,328,300.8,357,466.8,428.1,508,536,114.8,"166,332","2,331","3,334,900"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,35 to 39,,All,99.9,456.5,426.7,487.9,456.5,426.7,487.9,869,190.4,"191,882","3,790","3,794,500"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,40 to 44,,All,146.4,627.1,592.2,663.6,427.5,403.7,452.4,"1,203",281.4,"193,187","5,790","3,955,500"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,45 to 49,,All,218.3,814.6,771.6,859.3,371.8,352.2,392.2,"1,347",362.3,"166,930","7,970","3,650,500"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,50 to 54,,All,343.6,"1,168.80","1,110.20","1,229.70",339.1,322.1,356.7,"1,494",440.6,"129,521","10,904","3,173,300"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,55 to 59,,All,542.1,"1,705.20","1,627.60","1,785.50",313.8,299.5,328.5,"1,815",578.5,"107,588","16,425","3,029,700"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,60 to 64,,All,841.3,"2,611.50","2,508.40","2,717.70",310.8,298.6,323.5,"2,419",778.2,"93,041","25,703","3,055,300"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,65 to 69,,All,"1,369.80","4,244.00","4,092.30","4,399.90",311,299.9,322.4,"2,960",951.7,"70,331","31,258","2,281,900"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,Age,70 to 74,,All,"2,240.50","6,796.20","6,610.00","6,986.20",303.9,295.6,312.3,"5,091","1,675.40","76,189","44,631","1,992,000"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Condition,Cancer,,Cancer,160.8,302.7,294.4,311.1,186.2,181.2,191.3,"5,252","2,820.60","2,057,327","61,651","38,350,100"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Condition,Cardiovascular disease,,Cardiovascular disease,87.1,284.7,276.8,292.8,325.3,316.4,334.5,"4,995","1,535.50","2,057,327","33,400","38,350,100"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Condition,Liver disease,,Liver disease,21.5,105,100.3,109.9,496.3,474.5,519,"1,936",390,"2,057,327","8,263","38,350,100"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Condition,Respiratory disease,,Respiratory disease,39.3,186.5,180,193.1,468.8,452.8,485.2,"3,238",690.7,"2,057,327","15,072","38,350,100"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Condition,Cancer,,Cancer,163,289.3,281.1,297.6,175.6,170.7,180.6,"4,902","2,791.40","2,007,343","62,075","38,077,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Condition,Cardiovascular disease,,Cardiovascular disease,86.5,275.8,267.9,283.9,317.6,308.6,326.7,"4,742","1,493.20","2,007,343","32,924","38,077,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Condition,Liver disease,,Liver disease,21.3,99.1,94.5,103.8,479.7,457.9,502.4,"1,812",377.7,"2,007,343","8,095","38,077,800"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Condition,Respiratory disease,,Respiratory disease,35.9,166.3,160.1,172.6,456.7,440,473.9,"2,813",615.9,"2,007,343","13,652","38,077,800"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Condition,Cancer,,Cancer,163.6,282.4,274,290.9,171,166,176.1,"4,479","2,619.40","1,874,847","61,931","37,858,400"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Condition,Cardiovascular disease,,Cardiovascular disease,88.1,279.1,270.9,287.5,317.2,308,326.6,"4,497","1,417.90","1,874,847","33,337","37,858,400"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Condition,Liver disease,,Liver disease,20.9,95.4,90.8,100.2,471.8,449.3,495.2,"1,645",348.6,"1,874,847","7,903","37,858,400"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,Condition,Respiratory disease,,Respiratory disease,37.2,172.2,165.7,178.9,458.6,441.6,476.1,"2,732",595.7,"1,874,847","14,094","37,858,400"
